"StudyIdStr","acd50172.1d29.4bf1.a5ec.e5320c86e83f_Which.inhalative.anaesthetic.was.used."
"03958613-4da9-4de2-8e6b-f63c33a392e1",""
"11660f81-c343-4396-a097-74ca3430d6fa","0"
"1a12d870-e9b4-43c4-af98-a3f1b5caad5e","isoflurane"
"1e244eff-656f-4a3e-b275-5002e5547e76","isoflurane 5% induction and 1.5% maintain"
"2ea6da77-9ff3-41a6-9ad5-a46de336416b","0"
"2f3c1ffb-db00-4396-81d1-2051871f6170","0"
"33be5e82-27b6-422f-9318-cdd8bef0fc9b","0"
"3b028a2e-bee1-4199-b86d-22736264a99b","Isoflurane (2% induction, 1.5% maintenance)"
"3f09f535-cd4b-4f7d-bfc9-41abbf85dbef",""
"40090fa0-6946-4076-ba23-9c5b699a5c6e",""
"40eb6735-2129-464e-b255-3ecc0c1dd2a2","1.4â€“2%  isoflurane  in  40%    O2  and 60%  N2"
"487d51c4-eb75-4458-bfb2-e038b743a4ce",""
"49221963-9cb6-4a25-8dae-48290990747d","0"
"4c4e2785-7a37-4372-a212-00a99a93b34a","0"
"4e20f054-08ef-4296-994e-6ca213e76698","isoflurane (4 vol% induction, 2 vol% maintenance)"
"55615754-99dc-4dba-a628-da3b780a3d99","4% isoflurane in a nitrous oxide/oxygen mixture (70/30) and maintained by 2% isoflurane administered through a facemask"
"5af257e3-1c25-4e41-9d7b-4e017fb5b981","0"
"61702aff-9b39-42fe-8c00-c62c2bff42ae",""
"6ba7f978-80f7-4460-a0d9-0f8042112225","0"
"6e8bdf4f-1be9-475c-8883-4bbbb6310b66","0"
"6f303a27-1ca6-4ff9-9ece-b4d557d2e5e0","mice were premedicated with butorphanol (5 mg/kg, subcutaneous) and anesthetized with isoflurane (2% induction in 2.0 L/min; 1.5% maintenance in 1.0 L/min of 50% O2 in air"
"7aa59db0-c9d4-45a0-9bca-8fa61bc41df8","0"
"7e7d3286-31d1-4376-8373-8445a381b577","isofulrane 3-4% induction 1-1.5% maintain"
"7faa52e0-6c96-4611-92ae-5e938b1af4f7","0"
"85471734-be40-44d0-b54e-216a1aeb6214",""
"971d93e5-4b91-4cdc-884d-1069d7400db7","0"
"aadfb399-9468-4126-8bac-95f20fb9bf16","isoflurane (4% induction, 1.5% maintenance)"
"bf530f50-f645-4103-8719-029e8d9c9fcb","isoflurane 5% induction and 1.5-2% maintain"
"c2fed96c-4b03-4ae9-907f-a7f58202e6fa","isoflurane 5% induction, 1.5% maintenance"
"cf210ee3-a04e-4036-a0d9-238e7caf7a06","0"
"d4d7776b-93ce-43d4-a9b4-4278088aa35f","0"
"d9b32b94-334f-4bf7-bf75-2b74b39c4d75","lsoflurane 5% induction and  1.5% maintenance"
"d9e5f446-a472-40b8-a4b9-3ea1cd0cf8bf","0"
"dee61796-1b46-4e5f-9755-a3af31005637","isoflurane 3% induction and 1.5% maintenance "
"e8f3a66e-4af1-4db5-94f6-57c198c2ef32","0"
"e99bd6b7-7e0b-4047-a4b3-b277aab80a2c","0"
"ee082119-c743-475e-af5f-27fef5150192","0"
"ef45a356-7026-45c3-ab9c-6d94465bb727","0"
"ef4ad15c-3f9b-4efd-84a1-ab94609caceb","0"
"f068ccce-fdb6-4e46-8644-69d64f427305","0"
"f0846ef5-5cfe-4481-a655-5b3b63d47e49","Isoflurane"
"fec0d187-a931-44ba-b015-d8fe5398a17f","3% and 1.5% isoflurane inhalation"
